Date,Location,Temperature_C,Rainfall_mm,Humidity_%,WindSpeed_kmph
2023-01-18,Indore,29.2,0.0,31.6,0.1
2023-01-19,Delhi,24.0,0.0,55.1,9.9
2023-01-19,Karnal,26.0,22.7,70.4,1.1
2023-01-19,Ludhiana,26.2,0.0,63.5,7.0
2023-01-19,Nagpur,10.5,0.0,67.2,9.9
2023-01-19,Indore,18.7,22.3,37.5,3.8
2023-01-20,Delhi,35.0,0.0,84.6,3.1
2023-01-20,Karnal,16.7,0.0,45.9,1.9
2023-01-20,Ludhiana,14.2,0.0,34.7,5.1
2023-01-20,Nagpur,18.4,49.6,83.8,4.4
2023-01-20,Indore,36.9,0.0,63.2,1.4
2023-01-21,Delhi,26.9,0.0,37.9,3.8
2023-01-21,Karnal,24.3,0.0,30.2,13.3
2023-01-21,Ludhiana,31.9,0.0,83.2,4.9
2023-01-21,Nagpur,23.6,2.0,34.5,0.0
2023-01-21,Indore,18.7,16.2,80.0,13.6
2023-01-22,Delhi,21.0,24.2,68.5,12.3
2023-01-22,Karnal,10.1,0.0,33.6,13.0
2023-01-22,Ludhiana,36.2,0.0,83.5,1.6
2023-01-22,Nagpur,13.1,0.0,81.4,9.1
2023-01-22,Indore,35.3,0.0,63.7,2.5
2023-01-23,Delhi,11.8,0.0,79.9,12.6
2023-01-23,Karnal,37.9,13.3,60.7,7.3
2023-01-23,Ludhiana,32.5,25.2,38.0,3.8
2023-01-23,Nagpur,34.7,40.2,33.7,3.6
2023-01-23,Indore,39.9,0.0,67.1,10.2
2023-01-24,Delhi,10.4,0.0,51.4,14.3
2023-01-24,Karnal,33.6,0.0,89.4,9.7
2023-01-24,Ludhiana,11.4,0.0,81.9,3.2
2023-01-24,Nagpur,25.6,0.0,61.7,11.8
2023-01-24,Indore,37.0,0.0,35.5,2.4
2023-01-25,Delhi,25.9,0.0,73.5,12.6
2023-01-25,Karnal,18.8,10.9,72.1,4.7
2023-01-25,Ludhiana,39.0,0.0,78.1,3.0
2023-01-25,Nagpur,13.8,0.0,58.3,1.6
2023-01-25,Indore,30.7,0.0,55.0,12.9
2023-01-26,Delhi,29.6,0.0,74.7,2.6
2023-01-26,Karnal,19.7,0.0,44.6,7.4
2023-01-26,Ludhiana,32.1,0.0,40.7,11.0
2023-01-26,Nagpur,11.8,0.0,70.4,0.5
2023-01-26,Indore,22.0,12.3,61.7,5.8
2023-01-27,Delhi,27.2,8.7,89.8,12.6
2023-01-27,Karnal,12.2,0.0,86.4,8.3
2023-01-27,Ludhiana,34.4,33.0,32.4,6.5
2023-01-27,Nagpur,13.1,0.0,53.6,13.1
2023-01-27,Indore,18.5,0.0,45.1,13.2
2023-01-28,Delhi,20.7,0.0,78.9,8.1
2023-01-28,Karnal,25.5,0.0,32.1,8.6
2023-01-28,Ludhiana,17.9,40.3,82.4,14.8
2023-01-28,Nagpur,25.0,0.0,41.0,8.0
2023-01-28,Indore,11.6,0.0,36.6,3.9
2023-01-29,Delhi,31.1,0.0,52.7,8.4
2023-01-29,Karnal,25.4,0.0,31.0,2.5
2023-01-29,Ludhiana,28.5,0.0,59.5,1.9
2023-01-29,Nagpur,37.9,0.0,87.6,11.4
2023-01-29,Indore,29.1,0.0,70.8,14.4
2023-01-30,Delhi,10.2,22.2,66.7,8.5
2023-01-30,Karnal,25.9,0.0,87.7,4.6
2023-01-30,Ludhiana,22.1,36.1,39.4,9.3
2023-01-30,Nagpur,39.0,0.0,84.6,1.1
2023-01-30,Indore,21.2,23.5,49.1,10.5
2023-01-31,Delhi,14.1,28.9,69.7,7.6
2023-01-31,Karnal,13.6,0.0,57.1,4.0
2023-01-31,Ludhiana,17.4,23.9,40.8,11.0
2023-01-31,Nagpur,15.1,0.0,33.9,6.8
2023-01-31,Indore,37.2,0.0,75.6,8.5
2023-02-01,Delhi,11.0,0.0,52.7,3.2
2023-02-01,Karnal,37.7,0.0,83.2,7.7
2023-02-01,Ludhiana,19.6,0.0,46.6,10.5
2023-02-01,Nagpur,33.0,0.0,77.8,12.1
2023-02-01,Indore,11.1,0.0,47.4,2.4
2023-02-02,Delhi,34.3,0.0,49.8,6.9
2023-02-02,Karnal,30.1,0.0,78.2,13.1
2023-02-02,Ludhiana,23.7,0.0,53.9,2.3
2023-02-02,Nagpur,27.4,28.6,37.3,2.9
2023-02-02,Indore,39.3,0.0,56.2,5.6
2023-02-03,Delhi,36.9,0.0,61.2,1.8
2023-02-03,Karnal,24.9,0.0,34.0,0.2
2023-02-03,Ludhiana,24.8,0.0,48.4,0.9
2023-02-03,Nagpur,14.7,0.0,69.1,14.1
2023-02-03,Indore,26.3,0.0,51.5,0.7
2023-02-04,Delhi,39.8,0.0,68.5,8.8
2023-02-04,Karnal,16.1,0.0,71.0,8.0
2023-02-04,Ludhiana,17.8,47.3,68.0,1.9
2023-02-04,Nagpur,36.4,0.0,86.9,5.7
2023-02-04,Indore,22.3,0.0,45.2,5.5
2023-02-05,Delhi,16.1,0.0,63.3,10.1
2023-02-05,Karnal,14.3,14.4,32.9,0.6
2023-02-05,Ludhiana,28.2,0.0,47.1,1.6
2023-02-05,Nagpur,28.1,0.0,74.7,0.7
2023-02-05,Indore,19.1,0.0,52.6,13.7
2023-02-06,Delhi,10.5,16.7,89.6,1.1
2023-02-06,Karnal,11.9,0.0,62.2,1.4
2023-02-06,Ludhiana,39.9,34.8,50.3,2.6
2023-02-06,Nagpur,34.8,0.0,49.2,13.2
2023-02-06,Indore,37.8,0.0,72.9,1.1
2023-02-07,Delhi,29.7,0.0,77.2,0.8
2023-02-07,Karnal,32.7,0.0,70.5,3.4
2023-02-07,Ludhiana,21.7,0.0,88.3,0.8
2023-02-07,Nagpur,20.3,0.0,58.3,8.7
2023-02-07,Indore,37.1,40.4,59.6,14.8
2023-02-08,Delhi,28.5,0.0,33.2,7.6
2023-02-08,Karnal,10.2,0.0,38.1,10.9
2023-02-08,Ludhiana,37.3,38.5,33.3,0.8
2023-02-08,Nagpur,38.6,0.0,89.4,2.4
2023-02-08,Indore,19.0,0.0,52.9,6.4
2023-02-09,Delhi,24.5,0.0,78.9,0.1
2023-02-09,Karnal,35.6,0.0,30.4,14.4
2023-02-09,Ludhiana,11.9,0.0,48.0,7.2
2023-02-09,Nagpur,38.7,0.0,70.3,14.6
2023-02-09,Indore,13.2,41.6,56.4,0.1
2023-02-10,Delhi,37.5,0.0,57.4,4.6
2023-02-10,Karnal,13.8,0.0,60.8,10.0
2023-02-10,Ludhiana,16.8,0.0,76.5,12.1
2023-02-10,Nagpur,20.5,0.0,62.4,5.8
2023-02-10,Indore,16.5,0.0,69.6,12.6
2023-02-11,Delhi,28.4,0.0,77.8,7.0
2023-02-11,Karnal,19.2,0.0,48.8,6.6
2023-02-11,Ludhiana,14.4,0.0,66.8,1.5
2023-02-11,Nagpur,37.4,0.0,46.8,7.2
2023-02-11,Indore,34.9,0.0,75.2,6.8
2023-02-12,Delhi,28.6,0.0,40.4,4.2
2023-02-12,Karnal,35.3,0.0,59.8,2.6
2023-02-12,Ludhiana,20.4,0.0,62.1,2.6
2023-02-12,Nagpur,23.7,0.0,78.9,7.8
2023-02-12,Indore,28.2,0.0,41.0,9.8
2023-02-13,Delhi,27.9,48.1,52.2,14.1
2023-02-13,Karnal,33.0,0.0,60.0,8.0
2023-02-13,Ludhiana,38.7,0.0,48.6,3.7
2023-02-13,Nagpur,36.1,0.0,49.5,4.1
2023-02-13,Indore,37.1,0.0,58.5,1.3
2023-02-14,Delhi,14.2,0.0,81.0,5.4
2023-02-14,Karnal,29.8,0.0,61.6,12.7
2023-02-14,Ludhiana,27.4,1.5,37.3,3.4
2023-02-14,Nagpur,15.7,0.0,48.9,3.9
2023-02-14,Indore,21.3,47.5,59.5,6.3
2023-02-15,Delhi,35.3,0.0,81.3,13.2
2023-02-15,Karnal,13.7,41.7,89.7,6.1
2023-02-15,Ludhiana,10.6,0.0,32.1,11.3
2023-02-15,Nagpur,27.7,0.0,61.1,3.8
2023-02-15,Indore,22.0,0.0,54.9,14.2
2023-02-16,Delhi,27.0,33.4,70.5,4.2
2023-02-16,Karnal,38.0,23.8,78.2,2.8
2023-02-16,Ludhiana,34.3,0.0,78.3,7.8
2023-02-16,Nagpur,30.0,0.0,42.8,3.8
2023-02-16,Indore,29.9,3.1,54.2,10.5
2023-02-17,Delhi,16.4,0.0,86.4,2.8
2023-02-17,Karnal,38.6,46.5,42.9,4.2
2023-02-17,Ludhiana,31.7,0.0,60.7,4.2
2023-02-17,Nagpur,34.8,0.0,54.7,4.7
2023-02-17,Indore,15.5,0.0,38.7,12.3
2023-02-18,Delhi,14.0,2.0,56.4,2.2
2023-02-18,Karnal,28.3,26.1,81.1,1.6
2023-02-18,Ludhiana,35.9,0.0,83.5,9.8
2023-02-18,Nagpur,12.4,0.0,54.8,11.3
2023-02-18,Indore,17.9,0.0,59.3,13.7
2023-02-19,Delhi,31.3,0.0,59.8,11.8
2023-02-19,Karnal,11.0,0.0,70.8,10.7
2023-02-19,Ludhiana,10.4,21.6,70.8,0.9
2023-02-19,Nagpur,19.4,0.0,30.9,13.7
2023-02-19,Indore,25.1,0.0,40.8,4.6
2023-02-20,Delhi,27.0,43.0,50.4,10.2
2023-02-20,Karnal,29.9,0.0,30.2,11.8
2023-02-20,Ludhiana,15.2,0.0,42.4,3.4
2023-02-20,Nagpur,38.6,0.0,41.0,12.4
2023-02-20,Indore,23.0,0.0,44.6,1.4
2023-02-21,Delhi,24.3,0.0,72.6,15.0
2023-02-21,Karnal,36.6,0.0,59.1,7.5
2023-02-21,Ludhiana,35.1,0.3,41.1,7.2
2023-02-21,Nagpur,17.5,0.0,34.2,5.6
2023-02-21,Indore,35.3,23.4,52.5,10.4
2023-02-22,Delhi,30.4,0.0,35.4,1.1
2023-02-22,Karnal,36.6,0.0,59.7,9.8
2023-02-22,Ludhiana,27.1,0.0,78.4,7.4
2023-02-22,Nagpur,19.3,0.0,74.6,10.0
2023-02-22,Indore,15.1,0.0,60.6,12.5
2023-02-23,Delhi,18.7,0.0,64.0,9.2
2023-02-23,Karnal,18.8,0.0,42.0,6.3
2023-02-23,Ludhiana,32.0,0.0,57.9,5.7
2023-02-23,Nagpur,12.5,35.5,63.9,5.6
2023-02-23,Indore,19.9,0.0,52.4,8.5
2023-02-24,Delhi,11.3,0.0,35.5,13.2
2023-02-24,Karnal,22.6,0.0,86.4,3.9
2023-02-24,Ludhiana,10.2,0.0,38.9,3.9
2023-02-24,Nagpur,30.1,39.0,68.7,4.5
2023-02-24,Indore,12.8,0.0,49.9,10.6
2023-02-25,Delhi,24.9,26.8,73.8,8.3
2023-02-25,Karnal,24.4,0.0,61.1,11.1
2023-02-25,Ludhiana,18.5,0.0,88.9,0.4
2023-02-25,Nagpur,27.7,45.6,52.4,6.5
2023-02-25,Indore,17.0,0.0,63.1,9.4
2023-02-26,Delhi,30.6,0.0,89.4,13.0
2023-02-26,Karnal,23.6,0.0,55.1,11.8
2023-02-26,Ludhiana,30.1,29.2,45.4,13.7
2023-02-26,Nagpur,10.0,0.0,68.0,6.9
2023-02-26,Indore,35.0,0.0,61.8,12.0
2023-02-27,Delhi,16.1,42.3,76.6,7.8
2023-02-27,Karnal,38.3,0.0,43.0,7.1
2023-02-27,Ludhiana,26.6,0.0,89.7,11.5
2023-02-27,Nagpur,18.7,0.0,87.2,12.2
2023-02-27,Indore,10.2,0.0,82.8,3.6
2023-02-28,Delhi,17.6,0.0,58.5,4.4
2023-02-28,Karnal,19.7,0.0,89.4,11.8
2023-02-28,Ludhiana,32.6,0.0,83.2,12.7
2023-02-28,Nagpur,33.7,0.0,68.1,14.2
2023-02-28,Indore,23.4,42.4,87.8,12.0
2023-03-01,Delhi,25.6,23.8,41.0,1.9
2023-03-01,Karnal,34.6,0.0,90.0,7.9
2023-03-01,Ludhiana,24.6,0.0,77.7,0.6
2023-03-01,Nagpur,13.0,0.0,47.2,1.0
2023-03-01,Indore,33.3,13.8,48.8,6.6
2023-03-02,Delhi,27.6,45.9,38.6,4.8
2023-03-02,Karnal,21.6,0.0,30.7,1.4
2023-03-02,Ludhiana,26.5,0.0,62.1,6.5
2023-03-02,Nagpur,24.2,0.0,73.2,12.8
2023-03-02,Indore,34.5,28.1,63.8,2.2
2023-03-03,Delhi,28.0,0.0,84.8,11.5
2023-03-03,Karnal,29.0,0.0,42.3,9.8
2023-03-03,Ludhiana,25.3,3.9,87.4,12.9
2023-03-03,Nagpur,19.9,0.0,32.7,4.3
2023-03-03,Indore,26.5,0.0,52.6,0.9
2023-03-04,Delhi,32.1,40.8,82.8,11.3
2023-03-04,Karnal,11.1,0.0,34.9,13.2
2023-03-04,Ludhiana,16.6,0.0,83.0,7.5
2023-03-04,Nagpur,10.2,42.3,36.4,5.5
2023-03-04,Indore,28.2,0.0,55.2,7.4
2023-03-05,Delhi,18.2,0.0,54.8,11.6
2023-03-05,Karnal,27.7,0.0,44.7,13.3
2023-03-05,Ludhiana,33.3,0.0,41.5,14.9
2023-03-05,Nagpur,15.5,0.0,84.1,11.1
2023-03-05,Indore,14.7,0.0,36.9,9.6
2023-03-06,Delhi,10.7,0.0,78.9,10.7
2023-03-06,Karnal,23.8,0.0,71.1,14.4
2023-03-06,Ludhiana,28.8,0.0,84.8,13.3
2023-03-06,Nagpur,31.5,5.8,32.3,12.0
2023-03-06,Indore,36.3,0.0,69.7,3.9
2023-03-07,Delhi,25.7,37.8,36.5,2.7
2023-03-07,Karnal,16.2,0.0,75.7,7.6
2023-03-07,Ludhiana,30.9,0.0,50.4,0.3
2023-03-07,Nagpur,26.3,0.0,72.7,14.3
2023-03-07,Indore,36.5,35.3,71.9,8.5
2023-03-08,Delhi,11.7,0.0,42.6,8.5
2023-03-08,Karnal,31.1,19.1,57.1,10.1
2023-03-08,Ludhiana,36.2,0.0,51.0,6.2
2023-03-08,Nagpur,16.8,0.0,54.3,1.5
2023-03-08,Indore,24.0,19.7,33.6,7.1
2023-03-09,Delhi,32.4,8.7,75.6,3.2
2023-03-09,Karnal,35.5,17.6,56.1,14.8
2023-03-09,Ludhiana,11.9,0.0,64.9,11.9
2023-03-09,Nagpur,31.8,0.0,61.5,3.9
2023-03-09,Indore,38.5,0.0,51.4,13.5
2023-03-10,Delhi,16.1,38.6,41.3,13.8
2023-03-10,Karnal,30.6,0.0,48.0,6.9
2023-03-10,Ludhiana,30.5,39.1,49.1,4.8
2023-03-10,Nagpur,30.6,19.3,65.1,12.2
2023-03-10,Indore,23.2,0.0,48.8,1.9
2023-03-11,Delhi,20.8,0.0,31.5,12.2
2023-03-11,Karnal,34.6,0.0,48.4,10.4
2023-03-11,Ludhiana,29.9,24.9,40.2,10.7
2023-03-11,Nagpur,28.6,0.0,31.5,13.0
2023-03-11,Indore,29.8,0.0,43.2,2.6
2023-03-12,Delhi,30.9,0.0,65.4,10.9
2023-03-12,Karnal,25.5,0.0,70.3,12.0
2023-03-12,Ludhiana,31.6,0.0,37.1,1.4
2023-03-12,Nagpur,31.2,0.0,61.7,8.6
2023-03-12,Indore,14.3,25.7,31.2,7.7
2023-03-13,Delhi,25.1,5.4,33.7,14.1
2023-03-13,Karnal,26.0,0.0,41.4,9.8
2023-03-13,Ludhiana,31.6,0.0,89.5,14.5
2023-03-13,Nagpur,38.2,0.0,60.0,4.6
2023-03-13,Indore,27.7,7.3,55.2,2.2
2023-03-14,Delhi,15.9,0.0,74.4,7.5
2023-03-14,Karnal,35.2,31.5,50.2,8.9
2023-03-14,Ludhiana,10.9,8.1,77.3,5.3
2023-03-14,Nagpur,39.4,2.1,86.0,2.7
2023-03-14,Indore,33.0,25.3,56.8,13.6
2023-03-15,Delhi,33.9,0.0,70.2,10.0
2023-03-15,Karnal,26.9,0.0,48.5,2.7
2023-03-15,Ludhiana,30.7,37.2,64.9,2.8
2023-03-15,Nagpur,10.5,0.0,52.5,13.1
2023-03-15,Indore,32.1,44.0,45.2,14.1
2023-03-16,Delhi,12.6,0.0,55.2,4.2
2023-03-16,Karnal,37.5,0.0,32.3,12.0
2023-03-16,Ludhiana,10.6,0.0,32.3,13.3
2023-03-16,Nagpur,15.9,0.0,63.7,10.4
2023-03-16,Indore,10.4,0.0,35.0,3.3
2023-03-17,Delhi,27.4,0.0,42.7,4.6
2023-03-17,Karnal,24.0,0.0,80.1,0.5
2023-03-17,Ludhiana,39.8,0.0,47.1,3.1
2023-03-17,Nagpur,18.3,1.0,85.2,9.6
2023-03-17,Indore,29.2,0.0,54.6,6.7
2023-03-18,Delhi,18.9,0.0,60.7,9.8
2023-03-18,Karnal,31.1,24.2,63.8,13.8
2023-03-18,Ludhiana,19.9,11.4,33.0,1.0
2023-03-18,Nagpur,18.2,0.0,59.2,14.0
2023-03-18,Indore,19.6,0.0,57.4,9.6
2023-03-19,Delhi,22.2,0.0,42.3,1.8
2023-03-19,Karnal,33.7,0.0,36.7,13.6
2023-03-19,Ludhiana,19.7,0.0,83.9,8.0
2023-03-19,Nagpur,39.8,43.3,49.3,11.7
2023-03-19,Indore,16.7,0.0,50.0,14.3
2023-03-20,Delhi,35.0,0.0,77.8,6.7
2023-03-20,Karnal,18.1,0.0,48.5,8.7
2023-03-20,Ludhiana,35.3,0.0,77.2,5.0
2023-03-20,Nagpur,32.3,45.3,74.6,2.4
2023-03-20,Indore,18.8,16.5,44.6,9.6
2023-03-21,Delhi,28.4,44.8,44.8,3.3
2023-03-21,Karnal,37.0,0.0,43.1,11.4
2023-03-21,Ludhiana,29.4,0.0,56.2,4.9
2023-03-21,Nagpur,15.5,0.0,89.9,9.6
2023-03-21,Indore,37.4,0.0,76.5,6.9
2023-03-22,Delhi,36.2,0.0,71.7,10.0
2023-03-22,Karnal,34.4,28.7,66.2,2.4
2023-03-22,Ludhiana,26.4,0.0,56.7,5.0
2023-03-22,Nagpur,11.3,26.4,38.3,12.3
2023-03-22,Indore,30.4,0.0,85.3,14.8
2023-03-23,Delhi,26.5,0.0,44.4,12.3
2023-03-23,Karnal,28.3,0.0,54.1,14.3
2023-03-23,Ludhiana,13.9,0.0,31.9,10.2
2023-03-23,Nagpur,10.5,0.0,56.4,2.9
2023-03-23,Indore,13.6,0.0,69.4,4.8
2023-03-24,Delhi,18.4,0.0,66.3,0.3
2023-03-24,Karnal,29.6,0.0,71.6,13.4
2023-03-24,Ludhiana,20.0,44.0,62.3,6.6
2023-03-24,Nagpur,22.6,0.0,51.7,12.3
2023-03-24,Indore,15.8,44.6,79.6,14.8
2023-03-25,Delhi,35.8,0.0,62.7,10.7
2023-03-25,Karnal,34.0,0.0,31.6,0.4
2023-03-25,Ludhiana,15.0,41.6,82.3,13.0
2023-03-25,Nagpur,28.7,0.0,64.5,4.7
2023-03-25,Indore,31.1,0.0,56.6,5.7
2023-03-26,Delhi,11.0,0.0,75.4,6.5
2023-03-26,Karnal,14.3,8.1,52.1,13.3
2023-03-26,Ludhiana,38.7,0.0,82.6,2.9
2023-03-26,Nagpur,29.9,23.6,53.6,14.6
2023-03-26,Indore,32.4,0.0,87.5,14.3
2023-03-27,Delhi,32.1,31.7,75.9,5.6
2023-03-27,Karnal,13.3,0.0,84.3,8.2
2023-03-27,Ludhiana,11.3,0.0,84.0,9.3
2023-03-27,Nagpur,16.8,0.0,44.8,13.7
2023-03-27,Indore,21.5,0.0,85.0,0.7
2023-03-28,Delhi,31.5,0.0,35.7,9.3
2023-03-28,Karnal,32.7,0.0,44.1,10.4
2023-03-28,Ludhiana,35.7,40.3,82.5,1.0
2023-03-28,Nagpur,32.1,35.9,84.3,6.8
2023-03-28,Indore,20.5,0.0,33.0,6.1
2023-03-29,Delhi,17.0,0.0,61.6,4.9
2023-03-29,Karnal,35.7,0.0,74.7,14.3
2023-03-29,Ludhiana,39.4,19.9,81.3,2.8
2023-03-29,Nagpur,29.9,0.0,86.1,0.8
2023-03-29,Indore,29.2,0.0,72.6,1.0
2023-03-30,Delhi,38.3,14.8,61.9,3.3
2023-03-30,Karnal,29.7,0.0,69.1,5.3
2023-03-30,Ludhiana,12.0,0.0,40.2,11.9
2023-03-30,Nagpur,12.4,31.8,77.2,10.8
2023-03-30,Indore,19.9,0.0,32.2,11.2
2023-03-31,Delhi,13.5,0.0,52.9,3.5
2023-03-31,Karnal,30.8,0.0,70.8,8.0
2023-03-31,Ludhiana,19.5,0.0,79.4,6.0
2023-03-31,Nagpur,30.9,25.9,36.4,6.2
2023-03-31,Indore,25.9,0.0,70.7,1.8
2023-04-01,Delhi,14.0,0.0,58.2,6.0
2023-04-01,Karnal,19.2,0.0,75.9,3.3
2023-04-01,Ludhiana,33.3,0.0,62.4,12.7
2023-04-01,Nagpur,19.6,32.1,81.1,12.2
2023-04-01,Indore,26.8,0.0,33.0,4.1
2023-04-02,Delhi,19.7,23.6,77.7,10.0
2023-04-02,Karnal,15.5,0.0,84.8,2.0
2023-04-02,Ludhiana,24.9,0.0,56.2,8.5
2023-04-02,Nagpur,11.9,0.0,34.5,8.4
2023-04-02,Indore,29.2,43.1,73.6,13.4
2023-04-03,Delhi,29.8,0.0,85.9,2.2
2023-04-03,Karnal,19.4,27.0,65.8,0.7
2023-04-03,Ludhiana,28.4,24.2,43.5,4.8
2023-04-03,Nagpur,17.6,0.0,75.4,9.7
2023-04-03,Indore,25.4,27.3,43.3,4.8
2023-04-04,Delhi,28.7,0.0,39.7,12.5
2023-04-04,Karnal,12.4,0.0,30.7,13.5
2023-04-04,Ludhiana,26.5,0.0,42.2,5.6
2023-04-04,Nagpur,18.6,0.0,32.7,0.8
2023-04-04,Indore,33.7,36.4,47.5,12.9
2023-04-05,Delhi,21.5,0.0,42.5,3.4
2023-04-05,Karnal,25.5,17.9,80.7,2.4
2023-04-05,Ludhiana,14.7,0.0,45.9,13.6
2023-04-05,Nagpur,10.9,16.3,51.5,8.4
2023-04-05,Indore,19.5,0.0,78.1,4.4
2023-04-06,Delhi,39.7,9.8,84.6,3.5
2023-04-06,Karnal,13.7,0.0,68.1,8.4
2023-04-06,Ludhiana,12.7,0.0,60.5,5.7
2023-04-06,Nagpur,18.8,32.4,37.6,6.1
2023-04-06,Indore,10.9,0.0,86.6,9.4
2023-04-07,Delhi,17.4,0.0,86.8,3.2
2023-04-07,Karnal,36.4,0.0,52.7,11.6
2023-04-07,Ludhiana,34.4,0.0,81.2,4.1
2023-04-07,Nagpur,15.9,36.4,68.6,14.3
2023-04-07,Indore,13.2,0.0,48.7,10.7
2023-04-08,Delhi,37.7,12.9,85.1,1.2
2023-04-08,Karnal,39.0,0.0,57.5,6.7
2023-04-08,Ludhiana,12.4,0.0,62.3,5.1
2023-04-08,Nagpur,26.1,0.0,88.4,2.5
2023-04-08,Indore,35.2,0.0,33.9,7.6
